name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Evan Turner,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1726,4,9,2,2,0,0,1,2,0,1,0,0,2,6.8,22.1.2018
Michael Carter-Williams,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,928,4,6,0,0,0,0,2,2,2,0,0,1,3,6.6,22.1.2018
Pat Connaughton,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1214,1,4,0,1,2,2,1,1,2,3,0,0,1,6.6,22.1.2018
Marco Belinelli,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1547,5,10,1,4,0,0,0,1,2,1,0,2,1,6.3,22.1.2018
Tim Frazier,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,272,2,2,1,1,0,0,0,1,2,0,0,0,0,6.1,22.1.2018
Denzel Valentine,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,2291,3,7,2,5,0,0,0,2,5,2,1,3,5,6.1,22.1.2018
Kyle Collinsworth,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,1110,2,2,0,0,0,0,0,4,3,2,0,2,2,5.9,22.1.2018
Josh Richardson,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,2200,5,12,2,4,0,0,0,3,1,1,1,2,3,5.7,22.1.2018
CJ McCollum,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,2108,3,14,0,3,6,6,0,2,4,2,0,2,3,5.6,22.1.2018
Tyrone Wallace,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1904,3,5,0,0,1,3,0,4,5,0,0,1,5,5.6,22.1.2018
David Nwaba,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,933,2,4,0,0,2,4,2,1,0,1,1,0,3,5.4,22.1.2018
Dragan Bender,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,1692,3,4,1,1,0,0,0,3,2,0,0,2,1,5.3,22.1.2018
Amir Johnson,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,971,0,1,0,0,3,6,3,2,2,1,1,0,4,5.3,22.1.2018
Mike Muscala,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,978,3,4,0,1,0,0,1,3,1,0,0,1,1,5.3,22.1.2018
Willie Reed,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,982,4,5,0,0,0,0,0,3,0,0,0,1,2,5.2,22.1.2018
Ryan Anderson,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,1746,3,7,3,6,0,0,0,2,2,0,0,1,3,5.1,22.1.2018
Tyler Dorsey,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,645,2,3,1,1,0,0,0,2,1,0,0,0,0,5.0,22.1.2018
Nene Hilario,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,579,0,1,0,0,2,4,3,2,3,0,0,0,1,4.9,22.1.2018
Willie Cauley-Stein,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,LOSS,2221,5,20,0,1,1,2,2,8,1,2,0,0,1,4.7,22.1.2018
