team,opp,treatment,year,rest3.,rest1,rest2,points
PHOENIX SUNS,SEATTLE SUPERSONICS,1,2005,0,0,1,111
MEMPHIS GRIZZLIES,DALLAS MAVERICKS,1,2006,0,1,0,94
MIAMI HEAT,LOS ANGELES CLIPPERS,1,2007,0,0,0,98
NEW JERSEY NETS,INDIANA PACERS,1,2004,0,0,0,98
PORTLAND TRAIL BLAZERS,DENVER NUGGETS,1,2005,0,0,0,98
CHICAGO BULLS,LOS ANGELES LAKERS,1,2008,0,-1,1,109
LOS ANGELES LAKERS,NEW JERSEY NETS,1,2008,0,1,-1,120
CHICAGO BULLS,OKLAHOMA CITY THUNDER,1,2008,0,0,0,98
UTAH JAZZ,TORONTO RAPTORS,1,2008,0,1,-1,114
MINNESOTA TIMBERWOLVES,PHOENIX SUNS,1,2007,0,1,0,100
ORLANDO MAGIC,CLEVELAND CAVALIERS,1,2008,0,0,0,99
SAN ANTONIO SPURS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2006,0,1,-1,99
HOUSTON ROCKETS,ORLANDO MAGIC,1,2006,0,1,-1,103
GOLDEN STATE WARRIORS,MEMPHIS GRIZZLIES,1,2005,0,0,0,79
PHOENIX SUNS,CHARLOTTE BOBCATS,1,2005,0,0,0,136
NEW ORLEANS HORNETS,MINNESOTA TIMBERWOLVES,1,2004,0,0,0,94
NEW ORLEANS/OKLAHOMA CITY HORNETS,LOS ANGELES CLIPPERS,1,2006,0,0,0,90
HOUSTON ROCKETS,INDIANA PACERS,1,2008,0,1,0,90
NEW ORLEANS HORNETS,LOS ANGELES LAKERS,1,2004,0,-1,1,98
LOS ANGELES LAKERS,DENVER NUGGETS,1,2004,1,-1,0,99
SEATTLE SUPERSONICS,ORLANDO MAGIC,1,2004,0,0,0,98
MEMPHIS GRIZZLIES,PHOENIX SUNS,1,2007,0,0,0,113
UTAH JAZZ,WASHINGTON WIZARDS,1,2008,0,0,0,103
NEW YORK KNICKS,SAN ANTONIO SPURS,1,2008,0,0,0,112
NEW YORK KNICKS,MILWAUKEE BUCKS,1,2006,0,0,1,115
MINNESOTA TIMBERWOLVES,PHOENIX SUNS,1,2004,0,-1,1,115
HOUSTON ROCKETS,PHOENIX SUNS,1,2007,0,-1,0,105
DETROIT PISTONS,INDIANA PACERS,1,2007,0,0,0,96
SEATTLE SUPERSONICS,MINNESOTA TIMBERWOLVES,1,2004,0,1,0,98
DALLAS MAVERICKS,SACRAMENTO KINGS,1,2005,0,0,0,127
PHILADELPHIA 76ERS,TORONTO RAPTORS,1,2005,0,0,0,104
TORONTO RAPTORS,NEW JERSEY NETS,1,2004,0,0,0,110
SEATTLE SUPERSONICS,PORTLAND TRAIL BLAZERS,1,2005,0,1,0,122
GOLDEN STATE WARRIORS,DENVER NUGGETS,1,2004,0,0,0,104
INDIANA PACERS,CHICAGO BULLS,1,2008,0,0,0,107
MEMPHIS GRIZZLIES,NEW JERSEY NETS,1,2004,0,1,-1,89
MILWAUKEE BUCKS,ORLANDO MAGIC,1,2008,0,0,0,98
CHICAGO BULLS,INDIANA PACERS,1,2005,0,0,1,89
CLEVELAND CAVALIERS,WASHINGTON WIZARDS,1,2004,0,0,0,97
DETROIT PISTONS,BOSTON CELTICS,1,2004,0,-1,1,100
DETROIT PISTONS,PORTLAND TRAIL BLAZERS,1,2008,0,0,0,85
NEW YORK KNICKS,SAN ANTONIO SPURS,1,2007,0,0,0,93
BOSTON CELTICS,MIAMI HEAT,1,2007,0,1,-1,88
